14:13:28.431 [main] INFO  com.ebac.spring_framework.SpringFrameworkApplication - Starting SpringFrameworkApplication using Java 21.0.7 with PID 5108 (C:\Users\Henrique\IdeaProjects\spring-framework\target\classes started by Henrique in C:\Users\Henrique\IdeaProjects\spring-framework)
14:13:28.472 [main] INFO  com.ebac.spring_framework.SpringFrameworkApplication - No active profile set, falling back to 1 default profile: "default"
14:13:32.959 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
14:13:33.011 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
14:13:33.023 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:13:33.024 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.43]
14:13:33.183 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:13:33.192 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4552 ms
14:13:35.032 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
14:13:35.117 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
14:13:35.179 [main] INFO  com.ebac.spring_framework.SpringFrameworkApplication - Started SpringFrameworkApplication in 8.838 seconds (process running for 11.638)
14:13:39.195 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:13:39.195 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:13:39.197 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
14:13:39.919 [http-nio-8080-exec-1] INFO  com.ebac.spring_framework.controller.StatelessController - Token gerado com sucesso.
14:16:54.564 [http-nio-8080-exec-4] INFO  com.ebac.spring_framework.controller.StatelessController - Token gerado com sucesso.
14:19:00.509 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
14:19:00.523 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
14:20:11.057 [main] INFO  com.ebac.spring_framework.SpringFrameworkApplication - Starting SpringFrameworkApplication using Java 21.0.7 with PID 5496 (C:\Users\Henrique\IdeaProjects\spring-framework\target\classes started by Henrique in C:\Users\Henrique\IdeaProjects\spring-framework)
14:20:11.087 [main] INFO  com.ebac.spring_framework.SpringFrameworkApplication - No active profile set, falling back to 1 default profile: "default"
14:20:15.577 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
14:20:15.638 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
14:20:15.642 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:20:15.643 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.43]
14:20:15.825 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:20:15.828 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4439 ms
14:20:17.685 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
14:20:18.068 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path '/'
14:20:18.225 [main] INFO  com.ebac.spring_framework.SpringFrameworkApplication - Started SpringFrameworkApplication in 9.098 seconds (process running for 12.164)
14:20:54.796 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
14:20:54.845 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
